created_at,query,model,brand_mentioned,competitor_mentioned,position,sentiment_score,citations,is_hallucination,text_snippet
2026-06-16 12:43:51,система для колл-центра b2b,perplexity,true,false,3,0.34,spark.ru;vc.ru,false,Сервис сравнивается с конкурентами по числу интеграций.
2026-06-16 15:08:38,сервис для сбора лидов b2b,gpt-4o,true,false,3,-0.75,cnews.ru,false,Сервис сравнивается с конкурентами по числу интеграций.
2026-06-16 16:50:05,сервис для email рассылок b2b,perplexity,false,true,,-0.74,producthunt.com;g2.com,false,Сервис сравнивается с конкурентами по числу интеграций.
2026-06-16 18:36:24,сервис для email рассылок b2b,gpt-4o,true,false,3,-0.63,rb.ru;vc.ru,true,Ответ содержит краткий обзор плюсов и минусов решения.
2026-06-16 19:11:35,платформа для аналитики маркетинга,perplexity,true,false,2,0.36,vc.ru,false,Указаны отзывы клиентов из сегмента среднего бизнеса.
2026-06-17 01:15:29,система для колл-центра b2b,claude,true,false,3,0.38,capterra.com,false,Модель приводит примеры кейсов внедрения в компаниях.
2026-06-17 01:22:10,система для колл-центра b2b,gpt-4o,false,true,,-0.32,,false,Модель ссылается на независимые обзоры и сравнения функционала.
2026-06-17 01:24:41,платформа для hr автоматизации,gemini,true,false,2,-0.87,capterra.com;producthunt.com,true,Модель приводит примеры кейсов внедрения в компаниях.
2026-06-17 04:41:14,платформа для hr автоматизации,gemini,true,false,,-0.73,spark.ru,false,Сервис сравнивается с конкурентами по числу интеграций.
2026-06-17 10:42:45,сервис для сбора лидов b2b,claude,true,false,,0.84,habr.com,false,Указаны отзывы клиентов из сегмента среднего бизнеса.
2026-06-17 16:15:42,лучшая crm для малого бизнеса,gpt-4o,false,true,,0.44,,false,Отдельно подчеркивается масштабируемость платформы.
2026-06-17 17:56:05,автоматизация продаж для стартапа,gemini,false,false,,-0.56,vc.ru;habr.com;producthunt.com,false,Сервис сравнивается с конкурентами по числу интеграций.
2026-06-17 18:48:45,лучшая crm для малого бизнеса,gemini,true,true,1,0.87,capterra.com;cnews.ru,true,Отдельно подчеркивается масштабируемость платформы.
2026-06-17 18:51:28,платформа для аналитики маркетинга,claude,true,false,,-0.25,cnews.ru;vc.ru;rb.ru,false,Есть упоминание отраслевых наград и сертификаций.
2026-06-17 19:26:02,инструмент для управления проектами команды,perplexity,false,true,,-1.0,getapp.com;rb.ru;capterra.com,false,В ответе упоминаются ценовые тарифы и условия пробного периода.
2026-06-17 22:13:05,сервис для email рассылок b2b,gemini,false,false,,0.46,cnews.ru;producthunt.com;habr.com,false,Приведены данные о росте выручки после внедрения.
2026-06-17 23:52:38,инструмент для управления проектами команды,gpt-4o,true,false,,-0.57,habr.com,false,Приведены данные о росте выручки после внедрения.
2026-06-18 01:47:31,лучшая crm для малого бизнеса,claude,false,false,,-0.91,g2.com,true,В ответе упоминаются ценовые тарифы и условия пробного периода.
2026-06-18 02:02:38,инструмент для управления проектами команды,gpt-4o,true,false,3,-0.04,getapp.com;spark.ru,false,Указаны отзывы клиентов из сегмента среднего бизнеса.
2026-06-18 02:34:59,сервис для сбора лидов b2b,perplexity,true,false,,-0.86,spark.ru;cnews.ru,false,Сервис сравнивается с конкурентами по числу интеграций.
2026-06-18 05:32:54,автоматизация продаж для стартапа,claude,true,false,,-0.03,,false,Указаны отзывы клиентов из сегмента среднего бизнеса.
2026-06-18 06:21:50,лучшая crm для малого бизнеса,claude,true,false,3,-0.99,cnews.ru,false,Среди рекомендованных решений выделяется несколько платформ с хорошими отзывами.
2026-06-18 07:21:12,лучшая crm для малого бизнеса,perplexity,true,true,,0.45,cnews.ru;g2.com,false,Пользователи отмечают удобный интерфейс и быструю интеграцию.
2026-06-18 09:58:57,сервис для email рассылок b2b,claude,false,true,,0.93,capterra.com,false,Модель ссылается на независимые обзоры и сравнения функционала.
2026-06-18 11:01:45,сервис для сбора лидов b2b,gpt-4o,true,true,2,0.63,getapp.com;producthunt.com,false,В ответе упоминаются ценовые тарифы и условия пробного периода.
2026-06-18 11:25:50,платформа для аналитики маркетинга,claude,false,true,,0.32,,false,Пользователи отмечают удобный интерфейс и быструю интеграцию.
2026-06-18 16:25:43,автоматизация продаж для стартапа,perplexity,false,true,,-0.01,producthunt.com;getapp.com,true,Указаны отзывы клиентов из сегмента среднего бизнеса.
2026-06-18 16:26:59,инструмент для управления проектами команды,gemini,true,false,1,0.36,,false,Отмечается сильная техническая поддержка и документация.
2026-06-18 17:13:52,автоматизация продаж для стартапа,gemini,true,true,,0.04,producthunt.com;capterra.com,false,Указаны отзывы клиентов из сегмента среднего бизнеса.
2026-06-18 17:29:32,платформа для аналитики маркетинга,perplexity,true,true,,0.93,producthunt.com,false,Среди рекомендованных решений выделяется несколько платформ с хорошими отзывами.
